,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06
5.2,0,0,0,0,0,0,961,3224,3324,3875,3720,3800,3310
5.1,2238,2843,2795,2911,3090,2961,2151,482,458,602,455,405,340
5.0,1052,378,399,397,387,535,487,507,450,460,454,359,281
4.2,406,366,322,298,282,239,202,232,206,208,182,167,131
4.1,35,24,23,20,18,14,14,14,11,11,11,9,8
4.0,25,14,13,15,9,9,11,10,8,8,7,6,5
